ep_title_formatted,BAREIL,BASHIR,COMPUTER,DAMAR,DAX,DUKAT,EDDINGTON,EZRI,GARAK,JAKE,KASIDY,KEIKO,KIRA,MARTOK,NOG,O'BRIEN,ODO,QUARK,ROM,SISKO,VIC,WEYOUN,WINN,WORF,ZEK,index_x,airdate,ep_name,number,rating,season,index_y
emissary,0.0,27.0,36.0,0.0,79.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,130.0,0.0,3.0,113.0,34.0,34.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,1.0,3 Jan. 1993,Emissary,1,7.5,1,1
pastprologue,0.0,59.0,0.0,0.0,12.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,148.0,0.0,0.0,34.0,48.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,2.0,10 Jan. 1993,Past Prologue,2,7.0,1,2
amanalone,0.0,80.0,2.0,0.0,46.0,0.0,0.0,0.0,0.0,12.0,0.0,63.0,30.0,0.0,7.0,29.0,100.0,29.0,25.0,98.0,0.0,0.0,0.0,0.0,0.0,3.0,17 Jan. 1993,A Man Alone,3,6.9,1,3
babel,0.0,65.0,33.0,0.0,22.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,95.0,0.0,0.0,61.0,76.0,84.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,4.0,24 Jan. 1993,Babel,4,6.9,1,4
captivepursuit,0.0,2.0,7.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,255.0,32.0,35.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,5.0,31 Jan. 1993,Captive Pursuit,5,7.7,1,5
qless,0.0,54.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,77.0,10.0,121.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,6.0,7 Feb. 1993,Q-Less,6,6.8,1,6
dax,0.0,39.0,1.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,82.0,10.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,7.0,14 Feb. 1993,Dax,7,7.1,1,7
thepassenger,0.0,141.0,5.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,79.0,64.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,8.0,22 Feb. 1993,The Passenger,8,6.4,1,8
movealonghome,0.0,45.0,3.0,0.0,47.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,47.0,0.0,0.0,0.0,59.0,146.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,9.0,14 Mar. 1993,Move Along Home,9,5.9,1,9
thenagus,0.0,3.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,2.0,0.0,45.0,48.0,25.0,160.0,54.0,69.0,0.0,0.0,0.0,0.0,98.0,10.0,21 Mar. 1993,The Nagus,10,7.1,1,10
vortex,0.0,8.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,7.0,169.0,81.0,12.0,52.0,0.0,0.0,0.0,0.0,0.0,11.0,18 Apr. 1993,Vortex,11,7.0,1,11
battlelines,0.0,78.0,3.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,75.0,6.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,12.0,25 Apr. 1993,Battle Lines,12,6.6,1,12
thestoryteller,0.0,98.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,12.0,0.0,59.0,130.0,9.0,7.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,13.0,2 May 1993,The Storyteller,13,6.0,1,13
progress,0.0,18.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,176.0,0.0,84.0,14.0,7.0,31.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,14.0,9 May 1993,Progress,14,6.9,1,14
ifwisheswerehorses,0.0,68.0,3.0,0.0,99.0,0.0,0.0,0.0,0.0,13.0,0.0,8.0,41.0,0.0,0.0,102.0,63.0,74.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,15.0,16 May 1993,If Wishes Were Horses,15,6.5,1,15
theforsaken,0.0,49.0,41.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,122.0,137.0,8.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,16.0,23 May 1993,The Forsaken,16,6.8,1,16
dramatispersonae,0.0,54.0,6.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,72.0,105.0,49.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,17.0,30 May 1993,Dramatis Personae,17,7.1,1,17
duet,0.0,23.0,1.0,0.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,4.0,78.0,5.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,18.0,13 Jun. 1993,Duet,18,9.0,1,18
inthehandsoftheprophets,41.0,5.0,13.0,0.0,17.0,0.0,0.0,0.0,0.0,14.0,0.0,50.0,46.0,0.0,0.0,160.0,31.0,17.0,0.0,105.0,0.0,0.0,68.0,0.0,0.0,19.0,20 Jun. 1993,In the Hands of the Prophets,19,7.8,1,19
thehomecoming,0.0,22.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,30.0,0.0,0.0,130.0,0.0,0.0,58.0,32.0,73.0,10.0,140.0,0.0,0.0,0.0,0.0,0.0,20.0,26 Sep. 1993,The Homecoming,1,7.7,2,20
thecircle,48.0,18.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,137.0,0.0,0.0,23.0,67.0,42.0,0.0,125.0,0.0,0.0,36.0,0.0,0.0,21.0,3 Oct. 1993,The Circle,2,7.7,2,21
thesiege,17.0,34.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,18.0,0.0,6.0,115.0,0.0,14.0,44.0,22.0,56.0,8.0,119.0,0.0,0.0,7.0,0.0,0.0,22.0,10 Oct. 1993,The Siege,3,7.9,2,22
invasiveprocedures,0.0,71.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,32.0,13.0,50.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,23.0,17 Oct. 1993,Invasive Procedures,4,6.9,2,23
cardassians,0.0,141.0,0.0,0.0,2.0,68.0,0.0,0.0,90.0,0.0,0.0,17.0,4.0,0.0,0.0,54.0,5.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,24.0,24 Oct. 1993,Cardassians,5,7.5,2,24
melora,0.0,157.0,2.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,21.0,26.0,75.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,25.0,31 Oct. 1993,Melora,6,6.3,2,25
rulesofacquisition,0.0,5.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1.0,9.0,272.0,64.0,13.0,0.0,0.0,0.0,0.0,143.0,26.0,7 Nov. 1993,Rules of Acquisition,7,7.4,2,26
necessaryevil,0.0,16.0,0.0,0.0,3.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,263.0,95.0,93.0,15.0,0.0,0.0,0.0,0.0,0.0,27.0,14 Nov. 1993,Necessary Evil,8,8.2,2,27
secondsight,0.0,6.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,12.0,0.0,0.0,13.0,26.0,8.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,28.0,21 Nov. 1993,Second Sight,9,6.1,2,28
sanctuary,0.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,148.0,0.0,50.0,21.0,44.0,48.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,29.0,28 Nov. 1993,Sanctuary,10,6.5,2,29
rivals,0.0,93.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,0.0,0.0,77.0,24.0,166.0,30.0,33.0,0.0,0.0,0.0,0.0,0.0,30.0,2 Jan. 1994,Rivals,11,6.6,2,30
thealternate,0.0,39.0,2.0,0.0,46.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,13.0,0.0,0.0,67.0,130.0,37.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,31.0,9 Jan. 1994,The Alternate,12,6.8,2,31
armageddongame,0.0,200.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,29.0,0.0,0.0,147.0,3.0,11.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,32.0,30 Jan. 1994,Armageddon Game,13,7.4,2,32
whispers,0.0,45.0,56.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,38.0,15.0,0.0,0.0,351.0,24.0,14.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,33.0,6 Feb. 1994,Whispers,14,8.3,2,33
paradise,0.0,0.0,2.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,93.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,34.0,13 Feb. 1994,Paradise,15,6.8,2,34
shadowplay,37.0,6.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,64.0,0.0,0.0,30.0,137.0,23.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,35.0,20 Feb. 1994,Shadowplay,16,7.3,2,35
playinggod,0.0,27.0,22.0,0.0,302.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,29.0,0.0,0.0,49.0,7.0,54.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,36.0,27 Feb. 1994,Playing God,17,6.4,2,36
profitandloss,0.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,46.0,305.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,37.0,20 Mar. 1994,Profit and Loss,18,7.2,2,37
bloodoath,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,27.0,9.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,38.0,27 Mar. 1994,Blood Oath,19,8.0,2,38
