,BAREIL,BASHIR,COMPUTER,DAMAR,DAX,DUKAT,EDDINGTON,EZRI,GARAK,JAKE,KASIDY,KEIKO,KIRA,MARTOK,NOG,O'BRIEN,ODO,QUARK,ROM,SISKO,VIC,WEYOUN,WINN,WORF,ZEK,index
accession,0.0,58.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,88.0,0.0,0.0,92.0,19.0,18.0,0.0,136.0,0.0,0.0,0.0,8.0,0.0,87.0
afterimage,0.0,55.0,0.0,0.0,0.0,0.0,0.0,253.0,150.0,1.0,0.0,0.0,6.0,0.0,0.0,15.0,13.0,38.0,0.0,96.0,0.0,0.0,0.0,38.0,0.0,151.0
amanalone,0.0,80.0,2.0,0.0,46.0,0.0,0.0,0.0,0.0,12.0,0.0,63.0,30.0,0.0,7.0,29.0,100.0,29.0,25.0,98.0,0.0,0.0,0.0,0.0,0.0,3.0
apocalypserising,0.0,35.0,0.0,8.0,8.0,41.0,0.0,0.0,1.0,7.0,0.0,0.0,46.0,54.0,0.0,47.0,81.0,12.0,0.0,91.0,0.0,0.0,0.0,68.0,0.0,97.0
armageddongame,0.0,200.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,29.0,0.0,0.0,147.0,3.0,11.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,32.0
asimpleinvestigation,0.0,47.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,16.0,235.0,6.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,113.0
atimetostand,0.0,47.0,0.0,5.0,75.0,48.0,0.0,0.0,63.0,17.0,0.0,0.0,69.0,11.0,36.0,49.0,30.0,28.0,0.0,119.0,0.0,74.0,0.0,8.0,0.0,123.0
babel,0.0,65.0,33.0,0.0,22.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,95.0,0.0,0.0,61.0,76.0,84.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,4.0
baddabingbaddabang,0.0,70.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,67.0,0.0,52.0,0.0,29.0,58.0,29.0,2.0,0.0,55.0,157.0,0.0,0.0,4.0,0.0,163.0
barassociation,0.0,45.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71.0,19.0,179.0,205.0,20.0,0.0,0.0,0.0,47.0,0.0,86.0
