airdate,ep_name,number,rating,season,index
3 Jan. 1993,Emissary,1,7.5,1,1
10 Jan. 1993,Past Prologue,2,7.0,1,2
17 Jan. 1993,A Man Alone,3,6.9,1,3
24 Jan. 1993,Babel,4,6.9,1,4
31 Jan. 1993,Captive Pursuit,5,7.7,1,5
7 Feb. 1993,Q-Less,6,6.8,1,6
14 Feb. 1993,Dax,7,7.1,1,7
22 Feb. 1993,The Passenger,8,6.4,1,8
14 Mar. 1993,Move Along Home,9,5.9,1,9
21 Mar. 1993,The Nagus,10,7.1,1,10
18 Apr. 1993,Vortex,11,7.0,1,11
25 Apr. 1993,Battle Lines,12,6.6,1,12
2 May 1993,The Storyteller,13,6.0,1,13
9 May 1993,Progress,14,6.9,1,14
16 May 1993,If Wishes Were Horses,15,6.5,1,15
23 May 1993,The Forsaken,16,6.8,1,16
30 May 1993,Dramatis Personae,17,7.1,1,17
13 Jun. 1993,Duet,18,9.0,1,18
20 Jun. 1993,In the Hands of the Prophets,19,7.8,1,19
26 Sep. 1993,The Homecoming,1,7.7,2,20
3 Oct. 1993,The Circle,2,7.7,2,21
10 Oct. 1993,The Siege,3,7.9,2,22
17 Oct. 1993,Invasive Procedures,4,6.9,2,23
24 Oct. 1993,Cardassians,5,7.5,2,24
31 Oct. 1993,Melora,6,6.3,2,25
7 Nov. 1993,Rules of Acquisition,7,7.4,2,26
14 Nov. 1993,Necessary Evil,8,8.2,2,27
21 Nov. 1993,Second Sight,9,6.1,2,28
28 Nov. 1993,Sanctuary,10,6.5,2,29
2 Jan. 1994,Rivals,11,6.6,2,30
9 Jan. 1994,The Alternate,12,6.8,2,31
30 Jan. 1994,Armageddon Game,13,7.4,2,32
6 Feb. 1994,Whispers,14,8.3,2,33
13 Feb. 1994,Paradise,15,6.8,2,34
20 Feb. 1994,Shadowplay,16,7.3,2,35
27 Feb. 1994,Playing God,17,6.4,2,36
20 Mar. 1994,Profit and Loss,18,7.2,2,37
27 Mar. 1994,Blood Oath,19,8.0,2,38
24 Apr. 1994,The Maquis: Part 1,20,7.8,2,39
1 May 1994,The Maquis: Part 2,21,7.9,2,40
8 May 1994,The Wire,22,8.2,2,41
15 May 1994,Crossover,23,8.0,2,42
22 May 1994,The Collaborator,24,7.1,2,43
5 Jun. 1994,Tribunal,25,7.6,2,44
12 Jun. 1994,The Jem'Hadar,26,8.5,2,45
26 Sep. 1994,The Search: Part 1,1,8.4,3,46
3 Oct. 1994,The Search: Part 2,2,8.2,3,47
10 Oct. 1994,The House of Quark,3,8.0,3,48
17 Oct. 1994,Equilibrium,4,6.6,3,49
24 Oct. 1994,Second Skin,5,7.8,3,50
31 Oct. 1994,The Abandoned,6,6.9,3,51
7 Nov. 1994,Civil Defense,7,7.9,3,52
14 Nov. 1994,Meridian,8,5.6,3,53
21 Nov. 1994,Defiant,9,8.0,3,54
28 Nov. 1994,Fascination,10,6.2,3,55
2 Jan. 1995,Past Tense: Part 1,11,7.9,3,56
9 Jan. 1995,Past Tense: Part 2,12,8.0,3,57
30 Jan. 1995,Life Support,13,6.7,3,58
6 Feb. 1995,Heart of Stone,14,7.2,3,59
13 Feb. 1995,Destiny,15,7.4,3,60
20 Feb. 1995,Prophet Motive,16,6.7,3,61
27 Feb. 1995,Visionary,17,7.8,3,62
10 Apr. 1995,Distant Voices,18,6.5,3,63
17 Apr. 1995,Through the Looking Glass,19,7.5,3,64
24 Apr. 1995,Improbable Cause,20,8.6,3,65
1 May 1995,The Die Is Cast,21,8.9,3,66
8 May 1995,Explorers,22,7.3,3,67
15 May 1995,Family Business,23,7.1,3,68
22 May 1995,Shakaar,24,6.9,3,69
12 Jun. 1995,Facets,25,7.2,3,70
19 Jun. 1995,The Adversary,26,8.3,3,71
2 Oct. 1995,The Way of the Warrior,1,9.0,4,72
9 Oct. 1995,The Visitor,2,9.1,4,73
16 Oct. 1995,Hippocratic Oath,3,7.7,4,74
23 Oct. 1995,Indiscretion,4,7.7,4,75
30 Oct. 1995,Rejoined,5,7.1,4,76
6 Nov. 1995,Starship Down,6,7.7,4,77
13 Nov. 1995,Little Green Men,7,8.5,4,78
20 Nov. 1995,The Sword of Kahless,8,7.0,4,79
27 Nov. 1995,Our Man Bashir,9,8.0,4,80
1 Jan. 1996,Homefront,10,8.3,4,81
8 Jan. 1996,Paradise Lost,11,8.3,4,82
29 Jan. 1996,Crossfire,12,7.2,4,83
5 Feb. 1996,Return to Grace,13,7.8,4,84
12 Feb. 1996,Sons of Mogh,14,7.3,4,85
19 Feb. 1996,Bar Association,15,7.3,4,86
26 Feb. 1996,Accession,16,7.2,4,87
8 Apr. 1996,Rules of Engagement,17,7.2,4,88
15 Apr. 1996,Hard Time,18,8.2,4,89
22 Apr. 1996,Shattered Mirror,19,7.2,4,90
29 Apr. 1996,The Muse,20,5.5,4,91
6 May 1996,For the Cause,21,7.8,4,92
13 May 1996,To the Death,22,8.1,4,93
20 May 1996,The Quickening,23,7.6,4,94
10 Jun. 1996,Body Parts,24,7.5,4,95
17 Jun. 1996,Broken Link,25,8.2,4,96
30 Sep. 1996,Apocalypse Rising,1,8.2,5,97
7 Oct. 1996,The Ship,2,7.9,5,98
14 Oct. 1996,Looking for par'Mach in All the Wrong Places,3,7.7,5,99
21 Oct. 1996,...Nor the Battle to the Strong,4,7.6,5,100
28 Oct. 1996,The Assignment,5,7.2,5,101
4 Nov. 1996,Trials and Tribble-ations,6,9.3,5,102
11 Nov. 1996,Let He Who Is Without Sin...,7,5.4,5,103
18 Nov. 1996,Things Past,8,7.5,5,104
25 Nov. 1996,The Ascent,9,7.4,5,105
30 Dec. 1996,Rapture,10,7.3,5,106
6 Jan. 1997,The Darkness and the Light,11,6.9,5,107
27 Jan. 1997,The Begotten,12,7.7,5,108
3 Feb. 1997,For the Uniform,13,7.8,5,109
10 Feb. 1997,In Purgatory's Shadow,14,8.8,5,110
17 Feb. 1997,By Inferno's Light,15,8.8,5,111
24 Feb. 1997,"Doctor Bashir, I Presume?",16,7.8,5,112
31 Mar. 1997,A Simple Investigation,17,6.6,5,113
7 Apr. 1997,Business as Usual,18,7.3,5,114
