airdate,ep_name,number,rating,season,index
26 Sep. 1987,Encounter at Farpoint,1,6.9,1,1
3 Oct. 1987,The Naked Now,2,6.6,1,2
10 Oct. 1987,Code of Honor,3,5.2,1,3
17 Oct. 1987,The Last Outpost,4,6.3,1,4
24 Oct. 1987,Where No One Has Gone Before,5,7.6,1,5
31 Oct. 1987,Lonely Among Us,6,6.3,1,6
7 Nov. 1987,Justice,7,6.0,1,7
14 Nov. 1987,The Battle,8,6.8,1,8
21 Nov. 1987,Hide and Q,9,7.0,1,9
28 Nov. 1987,Haven,10,6.3,1,10
9 Jan. 1988,The Big Goodbye,11,7.4,1,11
16 Jan. 1988,Datalore,12,7.7,1,12
23 Jan. 1988,Angel One,13,5.7,1,13
30 Jan. 1988,11001001,14,7.5,1,14
6 Feb. 1988,Too Short a Season,15,6.1,1,15
13 Feb. 1988,When the Bough Breaks,16,6.4,1,16
20 Feb. 1988,Home Soil,17,6.8,1,17
12 Mar. 1988,Coming of Age,18,7.2,1,18
19 Mar. 1988,Heart of Glory,19,7.3,1,19
9 Apr. 1988,The Arsenal of Freedom,20,7.2,1,20
16 Apr. 1988,Symbiosis,21,6.9,1,21
23 Apr. 1988,Skin of Evil,22,6.9,1,22
30 Apr. 1988,We'll Always Have Paris,23,6.6,1,23
7 May 1988,Conspiracy,24,8.1,1,24
14 May 1988,The Neutral Zone,25,7.4,1,25
19 Nov. 1988,The Child,1,5.8,2,26
26 Nov. 1988,Where Silence Has Lease,2,7.1,2,27
3 Dec. 1988,"Elementary, Dear Data",3,8.2,2,28
10 Dec. 1988,The Outrageous Okona,4,6.3,2,29
7 Jan. 1989,Loud as a Whisper,5,6.5,2,30
21 Jan. 1989,The Schizoid Man,6,7.0,2,31
28 Jan. 1989,Unnatural Selection,7,6.5,2,32
4 Feb. 1989,A Matter of Honor,8,8.1,2,33
11 Feb. 1989,The Measure of a Man,9,9.1,2,34
18 Feb. 1989,The Dauphin,10,6.2,2,35
18 Mar. 1989,Contagion,11,7.6,2,36
25 Mar. 1989,The Royale,12,6.6,2,37
1 Apr. 1989,Time Squared,13,7.6,2,38
22 Apr. 1989,The Icarus Factor,14,6.3,2,39
29 Apr. 1989,Pen Pals,15,6.8,2,40
6 May 1989,Q Who,16,9.0,2,41
13 May 1989,Samaritan Snare,17,6.5,2,42
20 May 1989,Up the Long Ladder,18,6.3,2,43
17 Jun. 1989,Manhunt,19,6.0,2,44
24 Jun. 1989,The Emissary,20,7.6,2,45
8 Jul. 1989,Peak Performance,21,7.8,2,46
15 Jul. 1989,Shades of Gray,22,3.4,2,47
23 Sep. 1989,Evolution,1,6.6,3,48
30 Sep. 1989,The Ensigns of Command,2,7.4,3,49
7 Oct. 1989,The Survivors,3,7.7,3,50
14 Oct. 1989,Who Watches the Watchers,4,8.1,3,51
21 Oct. 1989,The Bonding,5,6.7,3,52
28 Oct. 1989,Booby Trap,6,7.5,3,53
4 Nov. 1989,The Enemy,7,7.9,3,54
11 Nov. 1989,The Price,8,6.3,3,55
18 Nov. 1989,The Vengeance Factor,9,6.5,3,56
1 Jan. 1990,The Defector,10,8.5,3,57
6 Jan. 1990,The Hunted,11,7.5,3,58
27 Jan. 1990,The High Ground,12,6.8,3,59
3 Feb. 1990,Déjà Q,13,8.6,3,60
10 Feb. 1990,A Matter of Perspective,14,6.8,3,61
17 Feb. 1990,Yesterday's Enterprise,15,9.2,3,62
10 Mar. 1990,The Offspring,16,8.5,3,63
17 Mar. 1990,Sins of the Father,17,8.3,3,64
24 Mar. 1990,Allegiance,18,7.4,3,65
31 Mar. 1990,Captain's Holiday,19,7.2,3,66
21 Apr. 1990,Tin Man,20,7.3,3,67
28 Apr. 1990,Hollow Pursuits,21,7.8,3,68
5 May 1990,The Most Toys,22,7.7,3,69
12 May 1990,Sarek,23,8.2,3,70
26 May 1990,Ménage à Troi,24,6.6,3,71
2 Jun. 1990,Transfigurations,25,6.9,3,72
16 Jun. 1990,The Best of Both Worlds,26,9.4,3,73
22 Sep. 1990,The Best of Both Worlds: Part II,1,9.3,4,74
29 Sep. 1990,Family,2,8.2,4,75
6 Oct. 1990,Brothers,3,7.9,4,76
13 Oct. 1990,Suddenly Human,4,6.5,4,77
20 Oct. 1990,Remember Me,5,7.9,4,78
27 Oct. 1990,Legacy,6,6.8,4,79
3 Nov. 1990,Reunion,7,8.3,4,80
10 Nov. 1990,Future Imperfect,8,7.8,4,81
17 Nov. 1990,Final Mission,9,6.8,4,82
29 Dec. 1990,The Loss,10,6.0,4,83
5 Jan. 1991,Data's Day,11,8.2,4,84
26 Jan. 1991,The Wounded,12,8.2,4,85
2 Feb. 1991,Devil's Due,13,7.3,4,86
9 Feb. 1991,Clues,14,8.3,4,87
16 Feb. 1991,First Contact,15,8.1,4,88
9 Mar. 1991,Galaxy's Child,16,7.2,4,89
16 Mar. 1991,Night Terrors,17,7.2,4,90
23 Mar. 1991,Identity Crisis,18,6.8,4,91
30 Mar. 1991,The Nth Degree,19,8.0,4,92
20 Apr. 1991,Qpid,20,7.3,4,93
27 Apr. 1991,The Drumhead,21,8.4,4,94
4 May 1991,Half a Life,22,7.3,4,95
11 May 1991,The Host,23,6.5,4,96
25 May 1991,The Mind's Eye,24,7.8,4,97
1 Jun. 1991,In Theory,25,7.2,4,98
15 Jun. 1991,Redemption,26,8.4,4,99
21 Sep. 1991,Redemption II,1,8.4,5,100
28 Sep. 1991,Darmok,2,8.7,5,101
5 Oct. 1991,Ensign Ro,3,7.8,5,102
12 Oct. 1991,Silicon Avatar,4,7.3,5,103
19 Oct. 1991,Disaster,5,7.8,5,104
26 Oct. 1991,The Game,6,7.4,5,105
2 Nov. 1991,Unification I,7,8.3,5,106
9 Nov. 1991,Unification II,8,8.3,5,107
16 Nov. 1991,A Matter of Time,9,7.3,5,108
4 Jan. 1992,New Ground,10,6.5,5,109
25 Jan. 1992,Hero Worship,11,6.6,5,110
1 Feb. 1992,Violations,12,6.3,5,111
8 Feb. 1992,The Masterpiece Society,13,6.8,5,112
15 Feb. 1992,Conundrum,14,8.3,5,113
22 Feb. 1992,Power Play,15,7.4,5,114
29 Feb. 1992,Ethics,16,7.3,5,115
14 Mar. 1992,The Outcast,17,6.7,5,116
21 Mar. 1992,Cause and Effect,18,9.0,5,117
28 Mar. 1992,The First Duty,19,7.9,5,118
18 Apr. 1992,Cost of Living,20,6.3,5,119
25 Apr. 1992,The Perfect Mate,21,7.4,5,120
2 May 1992,Imaginary Friend,22,6.1,5,121
9 May 1992,I Borg,23,8.8,5,122
16 May 1992,The Next Phase,24,8.3,5,123
30 May 1992,The Inner Light,25,9.4,5,124
13 Jun. 1992,Time's Arrow,26,8.4,5,125
19 Sep. 1992,Time's Arrow: Part II,1,8.3,6,126
26 Sep. 1992,Realm of Fear,2,7.3,6,127
3 Oct. 1992,Man of the People,3,5.8,6,128
10 Oct. 1992,Relics,4,8.6,6,129
17 Oct. 1992,Schisms,5,7.6,6,130
24 Oct. 1992,True Q,6,7.5,6,131
31 Oct. 1992,Rascals,7,7.3,6,132
7 Nov. 1992,A Fistful of Datas,8,7.6,6,133
14 Nov. 1992,The Quality of Life,9,7.4,6,134
12 Dec. 1992,Chain of Command: Part I,10,8.4,6,135
19 Dec. 1992,Chain of Command: Part II,11,8.9,6,136
23 Jan. 1993,Ship in a Bottle,12,8.6,6,137
30 Jan. 1993,Aquiel,13,6.1,6,138
6 Feb. 1993,Face of the Enemy,14,8.0,6,139
13 Feb. 1993,Tapestry,15,9.0,6,140
20 Feb. 1993,Birthright: Part I,16,7.6,6,141
27 Feb. 1993,Birthright: Part II,17,7.3,6,142
27 Mar. 1993,Starship Mine,18,7.9,6,143
3 Apr. 1993,Lessons,19,7.5,6,144
24 Apr. 1993,The Chase,20,8.0,6,145
1 May 1993,Frame of Mind,21,8.2,6,146
8 May 1993,Suspicions,22,7.0,6,147
15 May 1993,Rightful Heir,23,7.2,6,148
