airdate,ep_name,number,rating,season,index
27 Nov. 1988,The Cage,0,7.7,1,1
8 Sep. 1966,The Man Trap,1,7.3,1,2
15 Sep. 1966,Charlie X,2,7.2,1,3
22 Sep. 1966,Where No Man Has Gone Before,3,7.8,1,4
29 Sep. 1966,The Naked Time,4,8.0,1,5
6 Oct. 1966,The Enemy Within,5,7.8,1,6
13 Oct. 1966,Mudd's Women,6,6.9,1,7
20 Oct. 1966,What Are Little Girls Made Of?,7,7.6,1,8
27 Oct. 1966,Miri,8,7.1,1,9
3 Nov. 1966,Dagger of the Mind,9,7.5,1,10
10 Nov. 1966,The Corbomite Maneuver,10,8.2,1,11
17 Nov. 1966,The Menagerie: Part I,11,8.4,1,12
24 Nov. 1966,The Menagerie: Part II,12,8.3,1,13
8 Dec. 1966,The Conscience of the King,13,7.3,1,14
15 Dec. 1966,Balance of Terror,14,9.0,1,15
29 Dec. 1966,Shore Leave,15,7.7,1,16
5 Jan. 1967,The Galileo Seven,16,7.8,1,17
12 Jan. 1967,The Squire of Gothos,17,7.5,1,18
19 Jan. 1967,Arena,18,8.1,1,19
26 Jan. 1967,Tomorrow Is Yesterday,19,8.0,1,20
2 Feb. 1967,Court Martial,20,7.5,1,21
9 Feb. 1967,The Return of the Archons,21,7.3,1,22
16 Feb. 1967,Space Seed,22,8.9,1,23
23 Feb. 1967,A Taste of Armageddon,23,8.1,1,24
2 Mar. 1967,This Side of Paradise,24,8.0,1,25
9 Mar. 1967,The Devil in the Dark,25,8.5,1,26
23 Mar. 1967,Errand of Mercy,26,8.3,1,27
30 Mar. 1967,The Alternative Factor,27,5.9,1,28
6 Apr. 1967,The City on the Edge of Forever,28,9.3,1,29
13 Apr. 1967,Operation - Annihilate!,29,7.6,1,30
15 Sep. 1967,Amok Time,1,8.8,2,31
22 Sep. 1967,Who Mourns for Adonais?,2,7.1,2,32
29 Sep. 1967,The Changeling,3,7.8,2,33
6 Oct. 1967,"Mirror, Mirror",4,9.2,2,34
13 Oct. 1967,The Apple,5,6.4,2,35
20 Oct. 1967,The Doomsday Machine,6,8.8,2,36
27 Oct. 1967,Catspaw,7,6.2,2,37
3 Nov. 1967,"I, Mudd",8,7.5,2,38
10 Nov. 1967,Metamorphosis,9,7.4,2,39
17 Nov. 1967,Journey to Babel,10,8.6,2,40
1 Dec. 1967,Friday's Child,11,6.9,2,41
8 Dec. 1967,The Deadly Years,12,7.4,2,42
15 Dec. 1967,Obsession,13,7.4,2,43
22 Dec. 1967,Wolf in the Fold,14,7.4,2,44
29 Dec. 1967,The Trouble with Tribbles,15,8.9,2,45
5 Jan. 1968,The Gamesters of Triskelion,16,7.0,2,46
12 Jan. 1968,A Piece of the Action,17,7.9,2,47
19 Jan. 1968,The Immunity Syndrome,18,7.6,2,48
2 Feb. 1968,A Private Little War,19,7.0,2,49
9 Feb. 1968,Return to Tomorrow,20,7.6,2,50
16 Feb. 1968,Patterns of Force,21,7.6,2,51
23 Feb. 1968,By Any Other Name,22,7.7,2,52
1 Mar. 1968,The Omega Glory,23,6.2,2,53
8 Mar. 1968,The Ultimate Computer,24,8.1,2,54
15 Mar. 1968,Bread and Circuses,25,7.3,2,55
29 Mar. 1968,Assignment: Earth,26,7.7,2,56
20 Sep. 1968,Spock's Brain,1,5.6,3,57
27 Sep. 1968,The Enterprise Incident,2,8.6,3,58
4 Oct. 1968,The Paradise Syndrome,3,6.8,3,59
11 Oct. 1968,And the Children Shall Lead,4,5.2,3,60
18 Oct. 1968,Is There in Truth No Beauty?,5,7.0,3,61
25 Oct. 1968,Spectre of the Gun,6,7.4,3,62
1 Nov. 1968,Day of the Dove,7,8.0,3,63
8 Nov. 1968,For the World Is Hollow and I Have Touched the Sky,8,7.2,3,64
15 Nov. 1968,The Tholian Web,9,8.2,3,65
22 Nov. 1968,Plato's Stepchildren,10,6.7,3,66
29 Nov. 1968,Wink of an Eye,11,7.4,3,67
6 Dec. 1968,The Empath,12,6.6,3,68
20 Dec. 1968,Elaan of Troyius,13,7.2,3,69
3 Jan. 1969,Whom Gods Destroy,14,7.1,3,70
10 Jan. 1969,Let That Be Your Last Battlefield,15,7.3,3,71
17 Jan. 1969,The Mark of Gideon,16,6.5,3,72
24 Jan. 1969,That Which Survives,17,6.6,3,73
31 Jan. 1969,The Lights of Zetar,18,6.2,3,74
14 Feb. 1969,Requiem for Methuselah,19,7.6,3,75
21 Feb. 1969,The Way to Eden,20,5.5,3,76
28 Feb. 1969,The Cloud Minders,21,7.0,3,77
7 Mar. 1969,The Savage Curtain,22,6.8,3,78
14 Mar. 1969,All Our Yesterdays,23,8.3,3,79
3 Jun. 1969,Turnabout Intruder,24,6.9,3,80
